ID,NOMBRE,PROVEEDOR,LINEA,COSTO,MONEDA
IM-001,HORNO TUCANO DTF 90CM FOB,Importacion SOLPRO,INDUSTRIAL,3991.0,USD
SC-001,IMPRESORA EPSON F170,Sol Control,COMERCIAL,300.0,USD
SC-002,IMPRESORA EPSON L121,Sol Control,COMERCIAL,90.0,USD
SC-003,IMPRESORA EPSON L1250,Sol Control,COMERCIAL,143.0,USD
SC-004,IMPRESORA EPSON L14150,Sol Control,COMERCIAL,664.1,USD
SC-005,IMPRESORA EPSON L3210,Sol Control,COMERCIAL,174.0,USD
SC-006,MP EPSON L 4360 MULTIFUNCION WIR,Sol Control,COMERCIAL,262.0,USD
SC-007,IMP EPSON L 3210 MULTIFUNCION,Sol Control,COMERCIAL,201.4,USD
SC-008,IMP EPSON L 3560 MULTIFUNCION WIR,Sol Control,COMERCIAL,244.3,USD
SC-009,IMP EPSON L 4260 MULTIFUNCION WIR,Sol Control,COMERCIAL,264.0,USD
SC-010,IMP EPSON L 5590 MULTIFUNCION WIR/RED,Sol Control,COMERCIAL,330.0,USD
SC-011,IMP EPSON L 6270 MULTIFUNCION DUPLO/WIF/RED,Sol Control,COMERCIAL,443.0,USD
SC-012,IMP EPSON L14150 MULTIFUNCION WIR A3,Sol Control,COMERCIAL,669.0,USD
SC-013,IMP EPSON L 15150 MULTIFUNCION/FAX WIR/RED/A3,Sol Control,COMERCIAL,1049.0,USD
SC-014,IMP EPSON L 8050 FOTOGRAFICA/CD WIR,Sol Control,COMERCIAL,390.0,USD
SC-015,IMP EPSON L8180 MULTIFUNCION A3 WIR,Sol Control,COMERCIAL,920.0,USD
SC-016,ACCESORIOS BROTHER PRCF3 MARCO DE TAPA DE 60MM/PL,Sol Control,ACCESORIOS,399.0,USD
SC-017,BASTIDOR BROTHER PRH100 10X10CM,Sol Control,ACCESORIOS,33.25,USD
SC-018,BASTIDOR BROTHER PRH180 18X13CM,Sol Control,ACCESORIOS,33.25,USD
SC-019,BASTIDOR BROTHER PRH300 20X30CM,Sol Control,ACCESORIOS,47.5,USD
SC-020,BASTIDOR BROTHER PRH60 6X4CM,Sol Control,ACCESORIOS,23.75,USD
SC-021,BORDADORA BROTHER BP1530LPA 26 X 16CM,Sol Control,COMERCIAL,1155.0,USD
