ID REF;PROVEEDOR;DESCRIPCIÓN / INSUMO
IM-001;Importacion SOLPRO;HORNO TUCANO DTF 90CM FOB
SC-001;Sol Control;IMPRESORA EPSON F170
SC-002;Sol Control;IMPRESORA EPSON L121
SC-003;Sol Control;IMPRESORA EPSON L1250
SC-004;Sol Control;IMPRESORA EPSON L14150 
SC-005;Sol Control;IMPRESORA EPSON L3210
SC-006;Sol Control;IMP EPSON  L4360 MULTIFUNCION WIR
SC-007;Sol Control;IMP EPSON  L3210 MULTIFUNCION
SC-008;Sol Control;IMP EPSON  L3560 MULTIFUNCION WIR
SC-009;Sol Control;IMP EPSON  L 4260 MULTIFUNCION WIR
SC-010;Sol Control;IMP EPSON  L 5590 MULTIFUNCION WIR/RED
SC-011;Sol Control;IMP EPSON  L 6270 MULTIFUNCION DUPLO/WIF/RED
SC-012;Sol Control;IMP EPSON  L14150 MULTIFUNCION WIR A3
SC-013;Sol Control;IMP EPSON L 15150 MULTIFUNCION/FAX WIR/RED/A3
SC-014;Sol Control;IMP EPSON  L 8050 FOTOGRAFICA/CD WIR
SC-015;Sol Control;IMP EPSON  L8180 MULTIFUNCION A3 WIR
SC-016;Sol Control;ACCESORIOS BROTHER PRCF3 MARCO DE TAPA DE 60MM/PL
SC-017;Sol Control;BASTIDOR BROTHER PRH100 10X10CM
SC-018;Sol Control;BASTIDOR BROTHER PRH180 18X13CM
SC-019;Sol Control;BASTIDOR BROTHER PRH300 20X30CM
SC-020;Sol Control;BASTIDOR BROTHER PRH60 6X4CM
SC-021;Sol Control;BORDADORA BROTHER BP1530LPA 26 X 16CM
SC-022;Sol Control;BORDADORA BROTHER NV970LPA 2 EN 1 BORDA Y COSE 10
SC-023;Sol Control;BORDADORA BROTHER PE910LPA 18 X 13CM
SC-024;Sol Control;BORDADORA BROTHER PR680WPA 30 X 20CM COMBO
SC-025;Sol Control;BORDADORA BROTHER PR680WPA 30 X 20CM NORMAL
SC-026;Sol Control;MAQUINA DE COSER BROTHER BM2800PA
SC-027;Sol Control;MAQUINA DE COSER BROTHER BM3850PA
SC-028;Sol Control;MAQUINA DE COSER BROTHER JS2135PA MECANICA FAMILIA
SC-029;Sol Control;MAQUINA DE COSER BROTHER SQ9100PA
