Nombre Producto;P. Contado;P. Digital (QR);P. Financiado (Ind.);Linea
[CMB-001] COMBO: IMPRESORA EPSON F170 + CAMEO 5;? 5.990.000;? 6.190.000;? 6.090.000;COMERCIAL
[CMB-001] COMBO: IMPRESORA EPSON F170 + PRENSA 8 EN 1;? 5.190.000;? 5.390.000;? 5.290.000;COMERCIAL
[CMB-002] COMBO: IMPRESORA EPSON F170 + PRENSA 8 EN 1 + CAMEO 5;? 8.290.000;? 8.690.000;? 8.490.000;COMERCIAL
[CMB-002] COMBO: IMPRESORA EPSON L121 + PRENSA 8 EN 1;? 3.290.000;? 3.490.000;? 3.390.000;COMERCIAL
[CMB-003] COMBO: IMPRESORA EPSON L1250 + BORDADORA BROTHER NV970LPA 2 EN 1 BORDA Y COSE 10 + PRENSA 8 EN 1;? 9.390.000;? 9.690.000;? 9.590.000;COMERCIAL
[CMB-003] COMBO: IMPRESORA EPSON L1250 + PRENSA 8 EN 1;? 3.690.000;? 3.890.000;? 3.790.000;COMERCIAL
[CMB-004] COMBO: IMPRESORA EPSON F170 + PRENSA 11 EN 1;? 6.390.000;? 6.590.000;? 6.490.000;COMERCIAL
[CMB-004] COMBO: IMPRESORA EPSON L1250 + PRENSA TAZA COMUN 11 OZ;? 1.790.000;? 1.890.000;? 1.890.000;COMERCIAL
[CMB-005] COMBO: IMPRESORA EPSON L121 + PRENSA 11 EN 1;? 4.590.000;? 4.790.000;? 4.690.000;COMERCIAL
[CMB-006] COMBO: IMPRESORA EPSON L1250 + PRENSA 11 EN 1;? 5.190.000;? 5.390.000;? 5.290.000;COMERCIAL
[CMB-007] COMBO: IMPRESORA EPSON F170 + PRENSA 15 EN 1;? 6.690.000;? 6.990.000;? 6.890.000;COMERCIAL
[CMB-008] COMBO: IMPRESORA EPSON L121 + PRENSA 15 EN 1;? 5.290.000;? 5.490.000;? 5.390.000;COMERCIAL
[CMB-009] COMBO: IMPRESORA EPSON L1250 + PRENSA 15 EN 1;? 5.790.000;? 5.990.000;? 5.890.000;COMERCIAL
