Nombre,ID_Ref,Proveedor,Linea,Costo_Compra,Moneda_Costo,Margen_Pct
COMBO: IMPRESORA EPSON F170 + CAMEO 5,CMB-001,SOLPRO COMBOS,COMBO COMERCIAL,0.0,GS,23.0
COMBO: IMPRESORA EPSON F170 + PRENSA 8 EN 1,CMB-002,SOLPRO COMBOS,COMBO COMERCIAL,0.0,GS,23.0
COMBO: IMPRESORA EPSON L1250 + PRENSA 8 EN 1 + GRABADORA LASER 10W,CMB-003,SOLPRO COMBOS,COMBO COMERCIAL,0.0,GS,23.0
COMBO: IMPRESORA EPSON L1250 + SCANCUT SDX125 + PRENSA 8 EN 1,CMB-004,SOLPRO COMBOS,COMBO COMERCIAL,0.0,GS,23.0
COMBO: IMPRESORA EPSON F170 + PRENSA 8 EN 1 + CAMEO 5,CMB-005,SOLPRO COMBOS,COMBO COMERCIAL,0.0,GS,23.0
COMBO: IMPRESORA EPSON F170 + PRENSA 8 EN 1 + GRABADORA LASER 10W,CMB-006,SOLPRO COMBOS,COMBO COMERCIAL,0.0,GS,23.0
COMBO: IMPRESORA EPSON F170 + SCANCUT SDX125 + PRENSA 8 EN 1,CMB-007,SOLPRO COMBOS,COMBO COMERCIAL,0.0,GS,23.0
COMBO: IMPRESORA EPSON L121 + PRENSA 8 EN 1,CMB-008,SOLPRO COMBOS,COMBO COMERCIAL,0.0,GS,23.0
COMBO: IMPRESORA EPSON L1250 + BORDADORA BROTHER NV970LPA 2 EN 1 BORDA Y COSE 10 + PRENSA 8 EN 1,CMB-009,SOLPRO COMBOS,COMBO COMERCIAL,0.0,GS,23.0
COMBO: IMPRESORA EPSON L1250 + CAMEO 5 + GRABADORA LASER 10W,CMB-010,SOLPRO COMBOS,COMBO COMERCIAL,0.0,GS,23.0
COMBO: IMPRESORA EPSON L1250 + PRENSA 8 EN 1,CMB-011,SOLPRO COMBOS,COMBO COMERCIAL,0.0,GS,23.0
COMBO: SCANCUT SDX125 + PRENSA TERMICA 38X38,CMB-012,SOLPRO COMBOS,COMBO COMERCIAL,0.0,GS,23.0
COMBO: IMPRESORA EPSON F170 + CAMEO 5 + GRABADORA LASER 10W,CMB-013,SOLPRO COMBOS,COMBO COMERCIAL,0.0,GS,23.0
COMBO: IMPRESORA EPSON F170 + PRENSA 11 EN 1,CMB-014,SOLPRO COMBOS,COMBO COMERCIAL,0.0,GS,23.0
COMBO: IMPRESORA EPSON L1250 + PRENSA TAZA COMUN 11 OZ,CMB-015,SOLPRO COMBOS,COMBO COMERCIAL,0.0,GS,23.0
