Nombre;ID_Ref;Proveedor;Linea;Costo_Compra;Moneda_Costo;Margen_Pct
HORNO TUCANO DTF 90CM FOB;IM-001;Importacion SOLPRO;INDUSTRIAL;39910;USD;300
IMPRESORA EPSON F170;SC-001;Sol Control;COMERCIAL;3000;USD;300
IMPRESORA EPSON L121;SC-002;Sol Control;COMERCIAL;900;USD;300
IMPRESORA EPSON L1250;SC-003;Sol Control;COMERCIAL;1430;USD;300
IMPRESORA EPSON L14150;SC-004;Sol Control;COMERCIAL;6641;USD;300
IMPRESORA EPSON L3210;SC-005;Sol Control;COMERCIAL;1740;USD;300
MP EPSON L 4360 MULTIFUNCION WIR;SC-006;Sol Control;COMERCIAL;2620;USD;300
IMP EPSON L 3210 MULTIFUNCION;SC-007;Sol Control;COMERCIAL;2014;USD;300
IMP EPSON L 3560 MULTIFUNCION WIR;SC-008;Sol Control;COMERCIAL;2443;USD;300
IMP EPSON L 4260 MULTIFUNCION WIR;SC-009;Sol Control;COMERCIAL;2640;USD;300
IMP EPSON L 5590 MULTIFUNCION WIR/RED;SC-010;Sol Control;COMERCIAL;3300;USD;300
IMP EPSON L 6270 MULTIFUNCION DUPLO/WIF/RED;SC-011;Sol Control;COMERCIAL;4430;USD;300
IMP EPSON L14150 MULTIFUNCION WIR A3;SC-012;Sol Control;COMERCIAL;6690;USD;300
IMP EPSON L 15150 MULTIFUNCION/FAX WIR/RED/A3;SC-013;Sol Control;COMERCIAL;10490;USD;300
IMP EPSON L 8050 FOTOGRAFICA/CD WIR;SC-014;Sol Control;COMERCIAL;3900;USD;300
IMP EPSON L8180 MULTIFUNCION A3 WIR;SC-015;Sol Control;COMERCIAL;9200;USD;300
ACCESORIOS BROTHER PRCF3 MARCO DE TAPA DE 60MM/PL;SC-016;Sol Control;ACCESORIOS;3990;USD;300
BASTIDOR BROTHER PRH100 10X10CM;SC-017;Sol Control;ACCESORIOS;3325;USD;300
BASTIDOR BROTHER PRH180 18X13CM;SC-018;Sol Control;ACCESORIOS;3325;USD;300
BASTIDOR BROTHER PRH300 20X30CM;SC-019;Sol Control;ACCESORIOS;475;USD;300
BASTIDOR BROTHER PRH60 6X4CM;SC-020;Sol Control;ACCESORIOS;2375;USD;300
BORDADORA BROTHER BP1530LPA 26 X 16CM;SC-021;Sol Control;COMERCIAL;11550;USD;300
BORDADORA BROTHER NV970LPA 2 EN 1 BORDA Y COSE 10;SC-022;Sol Control;COMERCIAL;6300;USD;300
BORDADORA BROTHER PE910LPA 18 X 13CM;SC-023;Sol Control;COMERCIAL;7750;USD;300
BORDADORA BROTHER PR680WPA 30 X 20CM COMBO;SC-024;Sol Control;COMERCIAL;71459;USD;300
BORDADORA BROTHER PR680WPA 30 X 20CM NORMAL;SC-025;Sol Control;COMERCIAL;62940;USD;300
MAQUINA DE COSER BROTHER BM2800PA;SC-026;Sol Control;COMERCIAL;17005;USD;300
MAQUINA DE COSER BROTHER BM3850PA;SC-027;Sol Control;COMERCIAL;2242;USD;300
MAQUINA DE COSER BROTHER JS2135PA MECANICA FAMILIA;SC-028;Sol Control;COMERCIAL;14536;USD;300
MAQUINA DE COSER BROTHER SQ9100PA;SC-029;Sol Control;COMERCIAL;35055;USD;300
OVERLOCK BROTHER 3534DTPA;SC-030;Sol Control;COMERCIAL;3605;USD;300
SOFTWARE BROTHER PEDESIGN11L;SC-031;Sol Control;ACCESORIOS;71155;USD;300
TAPETE BROTHER CADXMATF12 P/ CORTE DE TELA 12X12;SC-032;Sol Control;ACCESORIOS;2565;USD;300
TAPETE BROTHER CADXMATLOW12 12X12 BAJA ADHERENCIA;SC-033;Sol Control;ACCESORIOS;18145;USD;300
TAPETE BROTHER CADXMATLOW24 30x60 BAJA ADHERENCIA;SC-034;Sol Control;ACCESORIOS;29735;USD;300
TAPETE BROTHER CADXMATSTD12 30x30 STD;SC-035;Sol Control;ACCESORIOS;18145;USD;300
TAPETE BROTHER CADXMATSTD24 30x60 STD;SC-036;Sol Control;ACCESORIOS;29735;USD;300
CUCHILLA BROTHER CADXBLDV1 DE VINILO P/ AUTO;SC-037;Sol Control;ACCESORIOS;1121;USD;300
CUCHILLA DE CORTE AUTO P/ TELA BROTHER CADXBLDQ1;SC-038;Sol Control;ACCESORIOS;1273;USD;300
CUCHILLA DE CORTE AUTO STD BROTHER  CADXBLD1;SC-039;Sol Control;ACCESORIOS;1273;USD;300
RODILLO BROTHER P/ ADHE DE MAT. AL TAPETE (CABRY1);SC-040;Sol Control;ACCESORIOS;152;USD;300
SCANNCUT BROTHER SDX225PA;SC-041;Sol Control;COMERCIAL;496375;USD;300
SCANCUT SDX125;SC-042;Sol Control;COMERCIAL;35834;USD;300
PRENSA DE CALOR CRICUT TAZA 2008736;SC-043;Sol Control;COMERCIAL;17005;USD;300
PRENSA DE CALOR CRICUT EASYPRESS 2005557;SC-044;Sol Control;COMERCIAL;150575;USD;300
PRENSA DE CALOR CRICUT HAT 2009241;SC-045;Sol Control;COMERCIAL;1425;USD;300
