Año;PRODUCTO;CANTIDAD
2020;*CARGADOR ARG-AC-0092 UNIVERSAL 90W P/NB;2
2020;*TINTA EP F6070/F6200 T741200 CYAN ULTRACHROME;27
2020;*TINTA EP F6070/F6200 T741300 MAGENTA ULTRACHROME;17
2020;*TINTA EP F6070/F6200 T741400 AMARILLO ULTRACHROME;10
2020;*TINTA EP F6200 T741X00 NEGRO ULTRACHROME;16
2020;AIRE ACONDICIONADO AURORA R410 12000BTU;1
2020;AIRE ACONDICIONADO AURORA R410 18000BTU;1
2020;AURI ARG-HS-0077 METRO;1
2020;IMP EPSON  L 120 SF;153
2020;IMP EPSON  L 3110 MULTIFUNCION;30
2020;IMP EPSON  L 3150 MULTIFUNCION WIR;1
2020;IMP EPSON  L 3150 MULTIFUNCION WIR*;1
2020;IMP EPSON  L1300 A3;3
2020;IMP EPSON  L1800 A3/FOTOGRAFICA;1
2020;IMP EPSON  T 3170 WIF SURECOLOR;1
2020;IMP EPSON CW-C3500 COLORWORKS;1
2020;IMP EPSON PLOTER SCF2100WE SURECOLOR;1
2020;IMP EPSON PLOTER SC-F6370 STANDARD EDITION;5
2020;IMP EPSON PLOTER SCF6370PE STANDARD EDITION;1
2020;IMP EPSON SURECOLOR F570;9
2020;KIT EP MANTENIMIENTO C13S210057 (T3170/F570/F571);4
2020;LENTES ARG-AC-0411SL P/ CELULAR;1
2020;MOUSE LOGIT 910-003635 M185 WIR ROJO;1
2020;MOUSE LOGIT 910-003636 M185 WIR AZUL;1
2020;MOUSE VERB 99766 AZUL USB WIR;1
2020;PAPEL EPSON DS TRANSFER - PRODUCTION  64” x 650’;131
2020;"PAPEL EPSON DS TRANSFER MULTIUSE 87GR 24"" x 100'";13
2020;PARLANTE ARG-SP-2801BK WIR NEGRO;10
2020;PARLANTE ARG-SP-2801BL WIR AZUL;3
2020;PARLANTE ARG-SP-2801PK WIR ROSADO;2
2020;REP EP AUTO TAKE-UP REEL UNIT FOR SCF6370;3
2020;"REP EP DUCT CR ASSY;CE30.B;ESL;ASP (1710065)";1
2020;"REP EP HOLDER IC A ASSY,R;CE30 ESL.,A (1691909)";1
2020;"REP EP HOLDER IC.A;ASSY,L;CE30 ESL;ASP 1691906";1
2020;REP EP INK SUPPLY TANK,HDK,SUB,642C0 (1764021);2
2020;REP EP INK SUPPLY TANK,SUB,642C0 (1676926);6
2020;"REP EP PUMP CAP ASSY,L; C CE30 ESL;ASP (1722994";1
2020;"REP EP PUMP CAP ASSY,R;B CE30 ESL;ASP(1722995)";1
2020;REP EP WIPER F9370 HEAD CLEANING KIT (C13S210051);6
2020;TECLADO LOGIT 920-008166 K375S MULTI WIRE;1
2020;TINTA EP C13T43R100 KIT MANTENIMIENTO F2100WE;1
2020;TINTA EP F6070/F6200 T741200 CYAN ULTRACHROME;1
2020;TINTA EP F6370 T746C220 CYAN ULTRACHROME;5
2020;TINTA EP F6370 T746C320 MAGENTA ULTRACHROME;3
2020;TINTA EP F6370 T746C420 YELLOW ULTRACHROME;3
2020;TINTA EP F6370 T746C820 NEGRO ULTRACHROME;2
2020;TINTA EP P9000 T699700 KIT DE MANTENIMIENTO TANQUE;3
2020;TINTA EP P9000 T804100 NEGRO ULTRACHROME 700 ML;2
2020;TINTA EP P9000 T804200 CYAN ULTRACHROME 700 ML;1
2020;TINTA EP P9000 T804300 MAGENTA ULTRACHROME 700 ML;2
2020;TINTA EP P9000 T804400 YELLOW ULTRACHROME 700 ML;2
2020;TINTA EP P9000 T804500 CYAN CLARO ULTRACHROME 700;1
2020;TINTA EP P9000 T804600 MAGENTA CLARO ULTRACHROME 7;1
2020;TINTA EP P9000 T804700 NEGRO CLARO ULTRACHROME 700;1
2020;TINTA EP P9000 T804800 NEGRO MATE ULTRACHROME 700;1
2020;TINTA EP P9000 T804B00 VERDE ULTRACHROME 700 ML;1
2020;TINTA EP P9000 T804D00 VIOLETA ULTRACHROME 700 ML;1
2020;TINTA EP T49M120 F570 ULTRACHROME NEGRO 140ML;5
2020;TINTA EP T49M220 F570 ULTRACHROME CYAN 140ML;6
2020;TINTA EP T49M320 F570 ULTRACHROME MAGENTA 140ML;5
2020;TINTA EP T49M420 F570 ULTRACHROME YELLOW 140ML;7
2020;TINTA EP T725A00 BLANCO 725 (F2100WE);2
2020;TINTA EP T748XXL120-A NEGRO (WF-6090/6590);1
2020;TINTA EP T890100 NEGRO (S40600PE);4
2020;TINTA EP T890200 CYAN (S40600PE);3
2020;TINTA EP T890300 MAGENTA (S40600PE);1
2020;TINTA EP T890320 MAGENTA (S40600PE);1
2020;TINTA EP T890400 AMARILLO (S40600PE);6
2020;UPS APS POWER     650 V.A.  VISTA;2
2021;*TINTA EP F6070/F6200 T741200 CYAN ULTRACHROME;5
2021;*TINTA EP F6070/F6200 T741300 MAGENTA ULTRACHROME;24
2021;*TINTA EP F6070/F6200 T741400 AMARILLO ULTRACHROME;23
2021;*TINTA EP F6200 T741X00 NEGRO ULTRACHROME;27
2021;AURI  ARG-HS-5080WT BLANCO C/ ACCESORIOS;1
2021;CAM WEB ARG-WC-9150BK FULL HD 1080P LED C/MIC;1
2021;CAM WEB LOGIT 960-001280 STREAM PLUS GRAPHITE;1
2021;IMP EPSON  L 120 SF;47
2021;IMP EPSON  L 121 SFP;6
2021;IMP EPSON  L 3110 MULTIFUNCION;7
2021;IMP EPSON  L 3210 MULTIFUNCION;15
2021;IMP EPSON  L 4160 MULTIFUNCION WIR;1
2021;IMP EPSON  L 805 FOTOGRAFICA/CD WIR;1
2021;IMP EPSON  L 810 FOTOGRAFICA/CD;1
2021;IMP EPSON  L121 SFP (220V);8
2021;IMP EPSON  T 3170 WIF SURECOLOR;1
2021;IMP EPSON PLOTER SCF6370PE STANDARD EDITION;11
2021;IMP EPSON SURECOLOR F170 A4;60
2021;IMP EPSON SURECOLOR F570;5
2021;IMP EPSON T5270DR SURECOLOR;1
2021;KIT DE LIMPIEZA DE CABEZAL C13S210063(F6370/F9370);2
2021;KIT DE MANTENIMIENTO C13S210125 SC-F170;4
2021;KIT EP MANTENIMIENTO C13S210057 (T3170/F570/F571);12
2021;"MON  24"" AURORA 24C2N FHD/USB/HDMI/TV DIGITAL";8
2021;"NB ACER CI3 54-37ZB/10MA/15.6""/4GB/256SSD/W10/NEG";1
2021;NB ASUS CI7/15.6 FHD144/16GB/1TBSSD/RTX2060/W10/GA;1
2021;NB HP   CE 14-AX100LA STREAM 4GB/64SSD/W10;1
2021;PAPEL EPSON DS TRANSFER - PRODUCTION  64” x 650’;48
2021;"PAPEL EPSON DS TRANSFER MULTIUSE 87GR 24"" x 100'";24
2021;PARLANTE ARG-SP-2801BK WIR NEGRO;2
2021;PARLANTE ARG-SP-2801BL WIR AZUL;6
