CODIGO;CATEGORIA;NOMBRE_PRODUCTO;PROVEEDOR;LINEA_VENTA;MONEDA;COSTO;ESTADO;NOTAS
IMPO-IND-001;IMPORTACIONES;"HORNO TUCANO DTF 90CM FOB";Importacion SOLPRO;INDUSTRIAL;USD;3991.0;ACTIVO;
SC-COM-001;SURECOLOR;"IMPRESORA EPSON F170";Sol Control;COMERCIAL;USD;300.0;ACTIVO;
IMP-COM-001;IMPRESORAS;"IMPRESORA EPSON L121";Sol Control;COMERCIAL;USD;90.0;ACTIVO;
IMP-COM-002;IMPRESORAS;"IMPRESORA EPSON L1250";Sol Control;COMERCIAL;USD;143.0;ACTIVO;
IMP-COM-003;IMPRESORAS;"IMPRESORA EPSON L14150";Sol Control;COMERCIAL;USD;664.1;ACTIVO;
IMP-COM-004;IMPRESORAS;"IMPRESORA EPSON L3210";Sol Control;COMERCIAL;USD;174.0;ACTIVO;
IMP-COM-005;IMPRESORAS;"MP EPSON L 4360 MULTIFUNCION WIR";Sol Control;COMERCIAL;USD;262.0;ACTIVO;
IMP-COM-006;IMPRESORAS;"IMP EPSON L 3210 MULTIFUNCION";Sol Control;COMERCIAL;USD;201.4;ACTIVO;
IMP-COM-007;IMPRESORAS;"IMP EPSON L 3560 MULTIFUNCION WIR";Sol Control;COMERCIAL;USD;244.3;ACTIVO;
IMP-COM-008;IMPRESORAS;"IMP EPSON L 4260 MULTIFUNCION WIR";Sol Control;COMERCIAL;USD;264.0;ACTIVO;
IMP-COM-009;IMPRESORAS;"IMP EPSON L 5590 MULTIFUNCION WIR/RED";Sol Control;COMERCIAL;USD;330.0;ACTIVO;
IMP-COM-010;IMPRESORAS;"IMP EPSON L 6270 MULTIFUNCION DUPLO/WIF/RED";Sol Control;COMERCIAL;USD;443.0;ACTIVO;
IMP-COM-011;IMPRESORAS;"IMP EPSON L14150 MULTIFUNCION WIR A3";Sol Control;COMERCIAL;USD;669.0;ACTIVO;
IMP-COM-012;IMPRESORAS;"IMP EPSON L 15150 MULTIFUNCION/FAX WIR/RED/A3";Sol Control;COMERCIAL;USD;1049.0;ACTIVO;
IMP-COM-013;IMPRESORAS;"IMP EPSON L 8050 FOTOGRAFICA/CD WIR";Sol Control;COMERCIAL;USD;390.0;ACTIVO;
IMP-COM-014;IMPRESORAS;"IMP EPSON L8180 MULTIFUNCION A3 WIR";Sol Control;COMERCIAL;USD;920.0;ACTIVO;
ACC-ACC-001;ACCESORIOS;"ACCESORIOS BROTHER PRCF3 MARCO DE TAPA DE 60MM/PL";Sol Control;ACCESORIOS;USD;399.0;ACTIVO;
ACC-ACC-002;ACCESORIOS;"BASTIDOR BROTHER PRH100 10X10CM";Sol Control;ACCESORIOS;USD;33.25;ACTIVO;
ACC-ACC-003;ACCESORIOS;"BASTIDOR BROTHER PRH180 18X13CM";Sol Control;ACCESORIOS;USD;33.25;ACTIVO;
ACC-ACC-004;ACCESORIOS;"BASTIDOR BROTHER PRH300 20X30CM";Sol Control;ACCESORIOS;USD;47.5;ACTIVO;
ACC-ACC-005;ACCESORIOS;"BASTIDOR BROTHER PRH60 6X4CM";Sol Control;ACCESORIOS;USD;23.75;ACTIVO;
BRD-COM-001;BORDADORAS;"BORDADORA BROTHER BP1530LPA 26 X 16CM";Sol Control;COMERCIAL;USD;1155.0;ACTIVO;
BRD-COM-002;BORDADORAS;"BORDADORA BROTHER NV970LPA 2 EN 1 BORDA Y COSE 10";Sol Control;COMERCIAL;USD;630.0;ACTIVO;
BRD-COM-003;BORDADORAS;"BORDADORA BROTHER PE910LPA 18 X 13CM";Sol Control;COMERCIAL;USD;775.0;ACTIVO;
BRD-COM-004;BORDADORAS;"BORDADORA BROTHER PR680WPA 30 X 20CM COMBO";Sol Control;COMERCIAL;USD;7145.9;ACTIVO;
BRD-COM-005;BORDADORAS;"BORDADORA BROTHER PR680WPA 30 X 20CM NORMAL";Sol Control;COMERCIAL;USD;6294.0;ACTIVO;
MAQCOS-COM-001;MAQUINAS DE COSER;"MAQUINA DE COSER BROTHER BM2800PA";Sol Control;COMERCIAL;USD;170.05;ACTIVO;
MAQCOS-COM-002;MAQUINAS DE COSER;"MAQUINA DE COSER BROTHER BM3850PA";Sol Control;COMERCIAL;USD;224.2;ACTIVO;
MAQCOS-COM-003;MAQUINAS DE COSER;"MAQUINA DE COSER BROTHER JS2135PA MECANICA FAMILIA";Sol Control;COMERCIAL;USD;145.36;ACTIVO;
MAQCOS-COM-004;MAQUINAS DE COSER;"MAQUINA DE COSER BROTHER SQ9100PA";Sol Control;COMERCIAL;USD;350.55;ACTIVO;
MAQCOS-COM-005;MAQUINAS DE COSER;"OVERLOCK BROTHER 3534DTPA";Sol Control;COMERCIAL;USD;360.5;ACTIVO;
ACC-ACC-006;ACCESORIOS;"SOFTWARE BROTHER PEDESIGN11L";Sol Control;ACCESORIOS;USD;711.55;ACTIVO;
ACC-ACC-007;ACCESORIOS;"TAPETE BROTHER CADXMATF12 P/ CORTE DE TELA 12X12";Sol Control;ACCESORIOS;USD;25.65;ACTIVO;
ACC-ACC-008;ACCESORIOS;"TAPETE BROTHER CADXMATLOW12 12X12 BAJA ADHERENCIA";Sol Control;ACCESORIOS;USD;18.145;ACTIVO;
ACC-ACC-009;ACCESORIOS;"TAPETE BROTHER CADXMATLOW24 30x60 BAJA ADHERENCIA";Sol Control;ACCESORIOS;USD;29.735;ACTIVO;
ACC-ACC-010;ACCESORIOS;"TAPETE BROTHER CADXMATSTD12 30x30 STD";Sol Control;ACCESORIOS;USD;18.145;ACTIVO;
ACC-ACC-011;ACCESORIOS;"TAPETE BROTHER CADXMATSTD24 30x60 STD";Sol Control;ACCESORIOS;USD;29.735;ACTIVO;
ACC-ACC-012;ACCESORIOS;"CUCHILLA BROTHER CADXBLDV1 DE VINILO P/ AUTO";Sol Control;ACCESORIOS;USD;11.21;ACTIVO;
ACC-ACC-013;ACCESORIOS;"CUCHILLA DE CORTE AUTO P/ TELA BROTHER CADXBLDQ1";Sol Control;ACCESORIOS;USD;12.73;ACTIVO;
ACC-ACC-014;ACCESORIOS;"CUCHILLA DE CORTE AUTO STD BROTHER  CADXBLD1";Sol Control;ACCESORIOS;USD;12.73;ACTIVO;
ACC-ACC-015;ACCESORIOS;"RODILLO BROTHER P/ ADHE DE MAT. AL TAPETE (CABRY1)";Sol Control;ACCESORIOS;USD;15.2;ACTIVO;
CUT-COM-001;CORTADORAS;"SCANNCUT BROTHER SDX225PA";Sol Control;COMERCIAL;USD;496.375;ACTIVO;
CUT-COM-002;CORTADORAS;"SCANCUT SDX125";Sol Control;COMERCIAL;USD;358.34;ACTIVO;
PRENSA-COM-001;PRENSAS;"PRENSA DE CALOR CRICUT TAZA 2008736";Sol Control;COMERCIAL;USD;170.05;ACTIVO;
PRENSA-COM-002;PRENSAS;"PRENSA DE CALOR CRICUT EASYPRESS 2005557";Sol Control;COMERCIAL;USD;150.575;ACTIVO;
PRENSA-COM-003;PRENSAS;"PRENSA DE CALOR CRICUT HAT 2009241";Sol Control;COMERCIAL;USD;142.5;ACTIVO;
PRENSA-COM-004;PRENSAS;"PRENSA DE CALOR CRICUT EASYPRESS 2005553";Sol Control;COMERCIAL;USD;128.725;ACTIVO;
SC-IND-001;SURECOLOR;"SURECOLOR P900";Sol Control;INDUSTRIAL;USD;1577.0;ACTIVO;
