ID REF;LÍNEA;PRODUCTO;P. CONTADO;P. DIGITAL (QR)
CMB-001;COMBO COMERCIAL;COMBO: IMPRESORA EPSON F170 + CAMEO 5;Gs. 5.690.000;Gs. 5.990.000
CMB-002;COMBO COMERCIAL;COMBO: IMPRESORA EPSON F170 + PRENSA 8 EN 1;Gs. 4.990.000;Gs. 5.190.000
CMB-003;COMBO COMERCIAL;COMBO: IMPRESORA EPSON L1250 + PRENSA 8 EN 1 + GRABADORA LASER 10W;Gs. 7.590.000;Gs. 7.990.000
CMB-004;COMBO COMERCIAL;COMBO: IMPRESORA EPSON L1250 + SCANCUT SDX125 + PRENSA 8 EN 1;Gs. 6.690.000;Gs. 6.990.000
CMB-005;COMBO COMERCIAL;COMBO: IMPRESORA EPSON F170 + PRENSA 8 EN 1 + CAMEO 5;Gs. 8.190.000;Gs. 8.590.000
CMB-006;COMBO COMERCIAL;COMBO: IMPRESORA EPSON F170 + PRENSA 8 EN 1 + GRABADORA LASER 10W;Gs. 8.890.000;Gs. 9.290.000
CMB-007;COMBO COMERCIAL;COMBO: IMPRESORA EPSON F170 + SCANCUT SDX125 + PRENSA 8 EN 1;Gs. 7.990.000;Gs. 8.390.000
CMB-008;COMBO COMERCIAL;COMBO: IMPRESORA EPSON L121 + PRENSA 8 EN 1;Gs. 3.290.000;Gs. 3.490.000
CMB-009;COMBO COMERCIAL;COMBO: IMPRESORA EPSON L1250 + BORDADORA BROTHER NV970LPA 2 EN 1 BORDA Y COSE 10 + PRENSA 8 EN 1;Gs. 8.890.000;Gs. 9.290.000
CMB-010;COMBO COMERCIAL;COMBO: IMPRESORA EPSON L1250 + CAMEO 5 + GRABADORA LASER 10W;Gs. 8.290.000;Gs. 8.690.000
CMB-011;COMBO COMERCIAL;COMBO: IMPRESORA EPSON L1250 + PRENSA 8 EN 1;Gs. 3.690.000;Gs. 3.890.000
CMB-012;COMBO COMERCIAL;COMBO: SCANCUT SDX125 + PRENSA TERMICA 38X38;Gs. 4.690.000;Gs. 4.890.000
CMB-013;COMBO COMERCIAL;COMBO: IMPRESORA EPSON F170 + CAMEO 5 + GRABADORA LASER 10W;Gs. 9.590.000;Gs. 9.990.000
CMB-014;COMBO COMERCIAL;COMBO: IMPRESORA EPSON F170 + PRENSA 11 EN 1;Gs. 6.290.000;Gs. 6.590.000
CMB-015;COMBO COMERCIAL;COMBO: IMPRESORA EPSON L1250 + PRENSA TAZA COMUN 11 OZ;Gs. 1.790.000;Gs. 1.890.000
