Nombre,ID_Ref,Proveedor,Linea,Costo_Compra,Moneda_Costo,Margen_Pct
"IMPRESORA EPSON F170",SC-001,SOLPRO,COMERCIAL,3000,USD,25
"IMPRESORA EPSON L1250",SC-002,SOLPRO,COMERCIAL,1862,USD,25
"IMPRESORA EPSON L121",SC-003,SOLPRO,COMERCIAL,1350,USD,25
"IMPRESORA EPSON L8180 A3",SC-004,SOLPRO,COMERCIAL,6150,USD,25
"BORDADORA BROTHER NV970LPA 2 EN 1 BORDA Y COSE 10",SC-005,SOLPRO,COMERCIAL,7400,USD,25
"BORDADORA BROTHER PE560LPA 10X10",SC-006,SOLPRO,COMERCIAL,5250,USD,25
"BORDADORA BROTHER PE910LPA 13X18",SC-007,SOLPRO,COMERCIAL,8500,USD,25
"BORDADORA BROTHER BP1530LPA 16X26",SC-008,SOLPRO,COMERCIAL,11500,USD,25
"BORDADORA BROTHER BP2150LPA 20X30",SC-009,SOLPRO,COMERCIAL,21500,USD,25
"BORDADORA BROTHER BP3700LPA 24X36",SC-010,SOLPRO,COMERCIAL,34500,USD,25
"BORDADORA BROTHER BE800LPA 13X18",SC-011,SOLPRO,COMERCIAL,8150,USD,25
"BORDADORA BROTHER BE815LPA 13X18",SC-012,SOLPRO,COMERCIAL,8150,USD,25
"BORDADORA BROTHER NV170LPA 10X10",SC-013,SOLPRO,COMERCIAL,5300,USD,25
"BORDADORA BROTHER NV450LPA 13X18",SC-014,SOLPRO,COMERCIAL,8300,USD,25
"BORDADORA BROTHER PE830DLPA 13X18",SC-015,SOLPRO,COMERCIAL,8100,USD,25
"BORDADORA BROTHER PE460DLPA 10X10",SC-016,SOLPRO,COMERCIAL,5200,USD,25
"BORDADORA BROTHER NS1150EPA 13X18",SC-017,SOLPRO,COMERCIAL,8100,USD,25
"BORDADORA BROTHER NQ1400EPA 16X26",SC-018,SOLPRO,COMERCIAL,11500,USD,25
"BORDADORA BROTHER NQ1600EPA 16X26",SC-019,SOLPRO,COMERCIAL,11500,USD,25
"BORDADORA BROTHER NQ1700EPA 16X26",SC-020,SOLPRO,COMERCIAL,11500,USD,25
