Fecha Emision;Cantidad;Descripcion;Articulo Proveedor
09-ago-24;1;ESPECTROFOTOMETRO EPSON SD-10;B41CK17201
16-dic-24;1;ESPECTROFOTOMETRO EPSON SD-10;B41CK17201
23-ene-25;1;ESPECTROFOTOMETRO EPSON SD-10;B41CK17201
23-ene-25;1;ESPECTROFOTOMETRO EPSON SD-10;B41CK17201
09-sept-24;2;EXTENSION GARANTIA FULL PLAN W/PORT (F6470-F6470H;EPPF6400PTS1L
09-sept-24;2;EXTENSION GARANTIA FULL PLAN W/PORT (F6470-F6470H;EPPF6400PTS1L
14-oct-24;2;EXTENSION GARANTIA FULL PLAN W/PORT (F6470-F6470H;EPPF6400PTS1L
24-nov-25;1;IMP EPSON  L 121 SFP;C11CD76305
17-dic-25;1;IMP EPSON  L 121 SFP;C11CD76305
22-dic-25;2;IMP EPSON  L 121 SFP;C11CD76305
24-nov-25;1;IMP EPSON  L 121 SFP;C11CD76305
17-dic-25;1;IMP EPSON  L 121 SFP;C11CD76305
22-dic-25;2;IMP EPSON  L 121 SFP;C11CD76305
16-ene-26;6;IMP EPSON  L 121 SFP;C11CD76305
11-ene-24;1;IMP EPSON  L 1250 SF WIR;C11CJ71303
12-ene-24;1;IMP EPSON  L 1250 SF WIR;C11CJ71303
17-ene-24;2;IMP EPSON  L 1250 SF WIR;C11CJ71303
24-ene-24;1;IMP EPSON  L 1250 SF WIR;C11CJ71303
06-feb-24;1;IMP EPSON  L 1250 SF WIR;C11CJ71303
07-feb-24;1;IMP EPSON  L 1250 SF WIR;C11CJ71303
31-may-24;2;IMP EPSON  L 1250 SF WIR;C11CJ71303
08-jul-24;2;IMP EPSON  L 1250 SF WIR;C11CJ71303
02-ago-24;1;IMP EPSON  L 1250 SF WIR;C11CJ71303
19-ago-24;3;IMP EPSON  L 1250 SF WIR;C11CJ71303
02-sept-24;5;IMP EPSON  L 1250 SF WIR;C11CJ71303
31-oct-24;4;IMP EPSON  L 1250 SF WIR;C11CJ71303
18-ene-24;3;IMP EPSON  L 1250 SF WIR;C11CJ71303
24-ene-24;1;IMP EPSON  L 1250 SF WIR;C11CJ71303
19-feb-24;1;IMP EPSON  L 1250 SF WIR;C11CJ71303
05-mar-24;8;IMP EPSON  L 1250 SF WIR;C11CJ71303
08-abr-24;4;IMP EPSON  L 1250 SF WIR;C11CJ71303
24-may-24;2;IMP EPSON  L 1250 SF WIR;C11CJ71303
27-jun-24;1;IMP EPSON  L 1250 SF WIR;C11CJ71303
24-sept-24;4;IMP EPSON  L 1250 SF WIR;C11CJ71303
09-oct-24;4;IMP EPSON  L 1250 SF WIR;C11CJ71303
16-dic-24;10;IMP EPSON  L 1250 SF WIR;C11CJ71303
09-jun-25;5;IMP EPSON  L 1250 SF WIR;C11CJ71303
31-oct-25;1;IMP EPSON  L 1250 SF WIR;C11CJ71303
21-nov-25;1;IMP EPSON  L 1250 SF WIR;C11CJ71303
25-nov-25;1;IMP EPSON  L 1250 SF WIR;C11CJ71303
16-dic-25;1;IMP EPSON  L 1250 SF WIR;C11CJ71303
03-jul-25;1;IMP EPSON  L 1250 SF WIR;C11CJ71303
09-jun-25;5;IMP EPSON  L 1250 SF WIR;C11CJ71303
31-oct-25;1;IMP EPSON  L 1250 SF WIR;C11CJ71303
21-nov-25;1;IMP EPSON  L 1250 SF WIR;C11CJ71303
25-nov-25;1;IMP EPSON  L 1250 SF WIR;C11CJ71303
16-dic-25;1;IMP EPSON  L 1250 SF WIR;C11CJ71303
03-jul-25;1;IMP EPSON  L 1250 SF WIR;C11CJ71303
20-ene-26;1;IMP EPSON  L 1250 SF WIR;C11CJ71303
28-feb-24;2;IMP EPSON  L 3210 MULTIFUNCION;C11CJ68303
22-abr-24;4;IMP EPSON  L 3210 MULTIFUNCION;C11CJ68303
30-abr-25;5;IMP EPSON  L 3210 MULTIFUNCION;C11CJ68303
13-ago-25;1;IMP EPSON  L 3210 MULTIFUNCION;C11CJ68303
20-ago-25;1;IMP EPSON  L 3210 MULTIFUNCION;C11CJ68303
22-ago-25;1;IMP EPSON  L 3210 MULTIFUNCION;C11CJ68303
23-sept-25;1;IMP EPSON  L 3210 MULTIFUNCION;C11CJ68303
21-abr-25;2;IMP EPSON  L 3210 MULTIFUNCION;C11CJ68303
14-jul-25;1;IMP EPSON  L 3210 MULTIFUNCION;C11CJ68303
