CODIGO,NOMBRE_PRODUCTO,CATEGORIA,LINEA,PROVEEDOR,MONEDA,COSTO,ESTADO,NOTAS
IM-001,HORNO TUCANO DTF 90CM FOB,SURECOLOR,INDUSTRIAL,Importacion SOLPRO,USD,3991.0,ACTIVO,
SC-001,IMPRESORA EPSON F170,IMPRESORAS,COMERCIAL,Sol Control,USD,300.0,ACTIVO,
SC-002,IMPRESORA EPSON L121,IMPRESORAS,COMERCIAL,Sol Control,USD,90.0,ACTIVO,
SC-003,IMPRESORA EPSON L1250,IMPRESORAS,COMERCIAL,Sol Control,USD,143.0,ACTIVO,
SC-004,IMPRESORA EPSON L14150,IMPRESORAS,COMERCIAL,Sol Control,USD,664.1,ACTIVO,
SC-005,IMPRESORA EPSON L3210,IMPRESORAS,COMERCIAL,Sol Control,USD,174.0,ACTIVO,
SC-006,MP EPSON L 4360 MULTIFUNCION WIR,IMPRESORAS,COMERCIAL,Sol Control,USD,262.0,ACTIVO,
SC-007,IMP EPSON L 3210 MULTIFUNCION,IMPRESORAS,COMERCIAL,Sol Control,USD,201.4,ACTIVO,
SC-008,IMP EPSON L 3560 MULTIFUNCION WIR,IMPRESORAS,COMERCIAL,Sol Control,USD,244.3,ACTIVO,
SC-009,IMP EPSON L 4260 MULTIFUNCION WIR,IMPRESORAS,COMERCIAL,Sol Control,USD,264.0,ACTIVO,
SC-010,IMP EPSON L 5590 MULTIFUNCION WIR/RED,IMPRESORAS,COMERCIAL,Sol Control,USD,330.0,ACTIVO,
SC-011,IMP EPSON L 6270 MULTIFUNCION DUPLO/WIF/RED,IMPRESORAS,COMERCIAL,Sol Control,USD,443.0,ACTIVO,
SC-012,IMP EPSON L14150 MULTIFUNCION WIR A3,IMPRESORAS,COMERCIAL,Sol Control,USD,669.0,ACTIVO,
SC-013,IMP EPSON L 15150 MULTIFUNCION/FAX WIR/RED/A3,IMPRESORAS,COMERCIAL,Sol Control,USD,1049.0,ACTIVO,
SC-014,IMP EPSON L 8050 FOTOGRAFICA/CD WIR,IMPRESORAS,COMERCIAL,Sol Control,USD,390.0,ACTIVO,
SC-015,IMP EPSON L8180 MULTIFUNCION A3 WIR,IMPRESORAS,COMERCIAL,Sol Control,USD,920.0,ACTIVO,
SC-016,ACCESORIOS BROTHER PRCF3 MARCO DE TAPA DE 60MM/PL,ACCESORIOS,ACCESORIOS,Sol Control,USD,399.0,ACTIVO,
SC-017,BASTIDOR BROTHER PRH100 10X10CM,ACCESORIOS,ACCESORIOS,Sol Control,USD,33.25,ACTIVO,
SC-018,BASTIDOR BROTHER PRH180 18X13CM,ACCESORIOS,ACCESORIOS,Sol Control,USD,33.25,ACTIVO,
SC-019,BASTIDOR BROTHER PRH300 20X30CM,ACCESORIOS,ACCESORIOS,Sol Control,USD,47.5,ACTIVO,
SC-020,BASTIDOR BROTHER PRH60 6X4CM,ACCESORIOS,ACCESORIOS,Sol Control,USD,23.75,ACTIVO,
SC-021,BORDADORA BROTHER BP1530LPA 26 X 16CM,IMPRESORAS,COMERCIAL,Sol Control,USD,1155.0,ACTIVO,
SC-022,BORDADORA BROTHER NV970LPA 2 EN 1 BORDA Y COSE 10,IMPRESORAS,COMERCIAL,Sol Control,USD,630.0,ACTIVO,
SC-023,BORDADORA BROTHER PE910LPA 18 X 13CM,IMPRESORAS,COMERCIAL,Sol Control,USD,775.0,ACTIVO,
SC-024,BORDADORA BROTHER PR680WPA 30 X 20CM COMBO,IMPRESORAS,COMERCIAL,Sol Control,USD,7145.9,ACTIVO,
SC-025,BORDADORA BROTHER PR680WPA 30 X 20CM NORMAL,IMPRESORAS,COMERCIAL,Sol Control,USD,6294.0,ACTIVO,
SC-026,MAQUINA DE COSER BROTHER BM2800PA,IMPRESORAS,COMERCIAL,Sol Control,USD,170.05,ACTIVO,
SC-027,MAQUINA DE COSER BROTHER BM3850PA,IMPRESORAS,COMERCIAL,Sol Control,USD,224.2,ACTIVO,
SC-028,MAQUINA DE COSER BROTHER JS2135PA MECANICA FAMILIA,IMPRESORAS,COMERCIAL,Sol Control,USD,145.36,ACTIVO,
SC-029,MAQUINA DE COSER BROTHER SQ9100PA,IMPRESORAS,COMERCIAL,Sol Control,USD,350.55,ACTIVO,
SC-030,OVERLOCK BROTHER 3534DTPA,IMPRESORAS,COMERCIAL,Sol Control,USD,360.5,ACTIVO,
