CODIGO;CATEGORIA;NOMBRE_PRODUCTO;PROVEEDOR;LINEA_VENTA;MONEDA;P_CONTADO;P_DIGITAL_QR;ESTADO;NOTAS
IMP-COM-001;IMPRESORAS;IMPRESORA EPSON F170 SURECOLOR DTF;Sol Control;COMERCIAL;GS;2590000;2690000;ACTIVO;
IMP-COM-002;IMPRESORAS;IMPRESORA EPSON L121 SFP;Sol Control;COMERCIAL;GS;790000;890000;ACTIVO;
IMP-COM-003;IMPRESORAS;IMPRESORA EPSON L1250 MULTIFUNCION WIR;Sol Control;COMERCIAL;GS;1390000;1490000;ACTIVO;
IMP-COM-004;IMPRESORAS;IMPRESORA EPSON L14150 MULTIFUNCION WIR A3;Sol Control;COMERCIAL;GS;5790000;6090000;ACTIVO;
IMP-COM-005;IMPRESORAS;IMPRESORA EPSON L3210 MULTIFUNCION;Sol Control;COMERCIAL;GS;1590000;1690000;ACTIVO;
IMP-COM-006;IMPRESORAS;IMPRESORA EPSON L4360 MULTIFUNCION WIR;Sol Control;COMERCIAL;GS;2390000;2490000;ACTIVO;
IMP-COM-007;IMPRESORAS;IMPRESORA EPSON L3560 MULTIFUNCION WIR;Sol Control;COMERCIAL;GS;23890000;24890000;ACTIVO;
IMP-COM-008;IMPRESORAS;IMPRESORA EPSON L4260 MULTIFUNCION WIR;Sol Control;COMERCIAL;GS;2490000;2590000;ACTIVO;
IMP-COM-009;IMPRESORAS;IMPRESORA EPSON L5590 MULTIFUNCION WIR/RED;Sol Control;COMERCIAL;GS;3090000;3190000;ACTIVO;
IMP-COM-010;IMPRESORAS;IMPRESORA EPSON L6270 MULTIFUNCION DUPLO/WIR/RED;Sol Control;COMERCIAL;GS;3990000;4190000;ACTIVO;
IMP-COM-011;IMPRESORAS;IMPRESORA EPSON L15150 MFP/FAX WIR/RED/A3;Sol Control;COMERCIAL;GS;9390000;9790000;ACTIVO;
IMP-COM-012;IMPRESORAS;IMPRESORA EPSON L8050 FOTOGRAFICA/CD WIR;Sol Control;COMERCIAL;GS;3590000;3690000;ACTIVO;
IMP-COM-013;IMPRESORAS;IMPRESORA EPSON L8180 MULTIFUNCION A3 WIR;Sol Control;COMERCIAL;GS;8690000;8990000;ACTIVO;
IMP-COM-014;IMPRESORAS;IMPRESORA EPSON LX-350 MATRICIAL 220V;Sol Control;COMERCIAL;GS;790000;890000;ACTIVO;
SC-COM-001;SURECOLOR;SURECOLOR T3170 SINGLE ROLL 24;Sol Control;COMERCIAL;GS;7890000;8190000;ACTIVO;
SC-COM-002;SURECOLOR;SURECOLOR T3170X SINGLE ROLL 24;Sol Control;COMERCIAL;GS;18390000;19090000;ACTIVO;
SC-COM-003;SURECOLOR;SURECOLOR T5475 SINGLE ROLL 36;Sol Control;COMERCIAL;USD;3390;3590;ACTIVO;
SC-COM-004;SURECOLOR;SURECOLOR F6470 CON STAND Y TAKEUP REEL;Sol Control;COMERCIAL;USD;7790;8090;ACTIVO;
SC-COM-005;SURECOLOR;SURECOLOR P900 FOTOGRAFICA A2;Sol Control;COMERCIAL;GS;0;0;SIN_PRECIO;
SC-IND-001;SURECOLOR;SURECOLOR F1070SE WIR/RED;Sol Control;INDUSTRIAL;USD;7790;8090;ACTIVO;
SC-IND-002;SURECOLOR;SURECOLOR F1070 DIRECT TO FILM;Sol Control;INDUSTRIAL;USD;8290;8690;ACTIVO;
SC-IND-003;SURECOLOR;SURECOLOR F1070 + HORNO DTF A3;Sol Control;INDUSTRIAL;USD;88990;92590;ACTIVO;
SC-IND-004;SURECOLOR;SURECOLOR F570 DIRECT TO FILM 44;Sol Control;INDUSTRIAL;GS;18490000;19190000;ACTIVO;
SC-IND-005;SURECOLOR;SURECOLOR F3070 BASE UNIT;Sol Control;INDUSTRIAL;USD;0;0;SIN_PRECIO;
SC-IND-006;SURECOLOR;SURECOLOR F9470 PRODUCTION EDITION;Sol Control;INDUSTRIAL;USD;0;0;SIN_PRECIO;
SC-IND-007;SURECOLOR;SURECOLOR F9570 CON IVA + KIT TINTAS PROMO;Sol Control;INDUSTRIAL;USD;25690;26690;ACTIVO;
SC-IND-008;SURECOLOR;SURECOLOR F9570H CON IVA;Sol Control;INDUSTRIAL;USD;0;0;SIN_PRECIO;
SC-IND-009;SURECOLOR;SURECOLOR F10070H BASE PRINTER LATAM;Sol Control;INDUSTRIAL;USD;0;0;SIN_PRECIO;
SC-IND-010;SURECOLOR;SURECOLOR F10070H OPT HEATER ROLL INK;Sol Control;INDUSTRIAL;USD;0;0;SIN_PRECIO;
SC-IND-011;SURECOLOR;SURECOLOR F11070;Sol Control;INDUSTRIAL;USD;0;0;SIN_PRECIO;
SC-IND-012;SURECOLOR;SURECOLOR F2270 DIRECT TO GARMENT;Sol Control;INDUSTRIAL;USD;0;0;SIN_PRECIO;
SC-IND-013;SURECOLOR;SURECOLOR S40600 PRODUCTION EDITION;Sol Control;INDUSTRIAL;USD;9990;10390;ACTIVO;
SC-IND-014;SURECOLOR;SURECOLOR S60600L BULK INK SYSTEM;Sol Control;INDUSTRIAL;USD;0;0;SIN_PRECIO;
SC-IND-015;SURECOLOR;SURECOLOR S80600L BULK INK SYSTEM;Sol Control;INDUSTRIAL;USD;0;0;SIN_PRECIO;
SC-IND-016;SURECOLOR;SURECOLOR T3170M SINGLE ROLL MFP;Sol Control;INDUSTRIAL;GS;18290000;19090000;ACTIVO;
SC-IND-017;SURECOLOR;SURECOLOR T5170 SINGLE ROLL 36;Sol Control;INDUSTRIAL;USD;3190;3290;ACTIVO;
SC-IND-018;SURECOLOR;SURECOLOR T3770E SINGLE ROLL 24;Sol Control;INDUSTRIAL;USD;0;0;SIN_PRECIO;
SC-IND-019;SURECOLOR;SURECOLOR T3770DE DUAL ROLL 24;Sol Control;INDUSTRIAL;USD;0;0;SIN_PRECIO;
SC-IND-020;SURECOLOR;SURECOLOR T5170M MFP 36;Sol Control;INDUSTRIAL;USD;0;0;SIN_PRECIO;
SC-IND-021;SURECOLOR;SURECOLOR T5770D DUAL ROLL 36;Sol Control;INDUSTRIAL;USD;0;0;SIN_PRECIO;
SC-IND-022;SURECOLOR;SURECOLOR T5770DM DUAL ROLL MFP 36;Sol Control;INDUSTRIAL;USD;0;0;SIN_PRECIO;
SC-IND-023;SURECOLOR;SURECOLOR T7770D DUAL ROLL 44;Sol Control;INDUSTRIAL;USD;0;0;SIN_PRECIO;
SC-IND-024;SURECOLOR;SURECOLOR T7770DL 44 INK BAG PS;Sol Control;INDUSTRIAL;USD;0;0;SIN_PRECIO;
SC-IND-025;SURECOLOR;SURECOLOR P5000 STANDARD EDITION;Sol Control;INDUSTRIAL;USD;0;0;SIN_PRECIO;
