CODIGO;CATEGORIA;NOMBRE_VENTA;NOMBRE_CAJA_COMPRA;COMPATIBILIDAD;PROVEEDOR;LINEA_VENTA;MONEDA;COSTO_CAJA;UNIDADES_POR_CAJA;COSTO_UNITARIO;ESTADO;NOTAS
TINTA-INS-001;TINTAS/CONSUMIBLES;"TINTA EP F6470 T53K220 CYAN ULTRACHROME 1,6L";"TINTA EP F6470 T53K220 CYAN ULTRACHROME 2X1,6L (CAJA 2 UDS)";F6470;Sol Control;INSUMOS;GS;1990000;2;995000;ACTIVO;Caja x2 ud.
TINTA-INS-002;TINTAS/CONSUMIBLES;"TINTA EP F6470 T53K320 MAGENTA ULTRACHROME 1,6L";"TINTA EP F6470 T53K320 MAGENTA ULTRACHROME 2X1,6L (CAJA 2 UDS)";F6470;Sol Control;INSUMOS;GS;1990000;2;995000;ACTIVO;Caja x2 ud.
TINTA-INS-003;TINTAS/CONSUMIBLES;"TINTA EP F6470 T53K420 YELLOW ULTRACHROME 1,6L";"TINTA EP F6470 T53K420 YELLOW ULTRACHROME 2X1,6L (CAJA 2 UDS)";F6470;Sol Control;INSUMOS;GS;1990000;2;995000;ACTIVO;Caja x2 ud.
TINTA-INS-004;TINTAS/CONSUMIBLES;"TINTA EP F6470 T53K920 NEGRO ULTRACHROME 1,6L";"TINTA EP F6470 T53K920 NEGRO ULTRACHROME 2X1,6L (CAJA 2 UDS)";F6470;Sol Control;INSUMOS;GS;1990000;2;995000;ACTIVO;Caja x2 ud.
TINTA-INS-005;TINTAS/CONSUMIBLES;"TINTA EP F6470H T53K720 DS FLUO ULTRACHROME";"TINTA EP F6470H T53K720 DS FLUO (CAJA 2 UDS)";F6470H;Sol Control;INSUMOS;GS;0;2;0;SIN_PRECIO;Caja x2 ud.
TINTA-INS-006;TINTAS/CONSUMIBLES;"TINTA EP F6470H T53K820 DS FLUO ULTRACHROME";"TINTA EP F6470H T53K820 DS FLUO (CAJA 2 UDS)";F6470H;Sol Control;INSUMOS;GS;0;2;0;SIN_PRECIO;Caja x2 ud.
TINTA-INS-007;TINTAS/CONSUMIBLES;"TINTA EP DS INICIACION T53KM20 (SCF6470PE)";"TINTA EP INICIACION T53KM20 (CAJA 4 UDS)";F6470PE;Sol Control;INSUMOS;GS;0;4;0;SIN_PRECIO;Caja x4 ud.
TINTA-INS-008;TINTAS/CONSUMIBLES;"TINTA EP F6370 T46C220 CYAN ULTRACHROME";"TINTA EP F6370 T46C220 CYAN ULTRACHROME (CAJA 6 UDS)";F6370;Sol Control;INSUMOS;GS;3290000;6;548333;ACTIVO;Caja x6 ud.
TINTA-INS-009;TINTAS/CONSUMIBLES;"TINTA EP F6370 T46C320 MAGENTA ULTRACHROME";"TINTA EP F6370 T46C320 MAGENTA ULTRACHROME (CAJA 6 UDS)";F6370;Sol Control;INSUMOS;GS;3290000;6;548333;ACTIVO;Caja x6 ud.
TINTA-INS-010;TINTAS/CONSUMIBLES;"TINTA EP F6370 T46C420 YELLOW ULTRACHROME";"TINTA EP F6370 T46C420 YELLOW ULTRACHROME (CAJA 6 UDS)";F6370;Sol Control;INSUMOS;GS;3290000;6;548333;ACTIVO;Caja x6 ud.
TINTA-INS-011;TINTAS/CONSUMIBLES;"TINTA EP F6370 T46C820 NEGRO ULTRACHROME";"TINTA EP F6370 T46C820 NEGRO ULTRACHROME (CAJA 6 UDS)";F6370;Sol Control;INSUMOS;GS;3290000;6;548333;ACTIVO;Caja x6 ud.
TINTA-INS-012;TINTAS/CONSUMIBLES;"TINTA EP F6200 T741220 CYAN ULTRACHROME";"TINTA EP F6200 T741220 CYAN (CAJA 6 UDS)";F6200/F6070;Sol Control;INSUMOS;GS;2490000;6;415000;ACTIVO;Caja x6 ud.
TINTA-INS-013;TINTAS/CONSUMIBLES;"TINTA EP F6200 T741320 MAGENTA ULTRACHROME";"TINTA EP F6200 T741320 MAGENTA (CAJA 6 UDS)";F6200/F6070;Sol Control;INSUMOS;GS;2490000;6;415000;ACTIVO;Caja x6 ud.
